feature_name,description
is_risky,是否违约风险样本(布尔值)
label,违约标签(是/否)
entityname,企业名称
nature,企业性质
firstcreditx_year,首次授信年份
cred_level_desc,信用评级
threshold,风险阈值
risk_flag,风险标识
check_result,贷后检查结果
corp_oper_income_24m,近24个月营业收入
corp_oper_expns_24m,近24个月营业支出
corp_oper_diff_12m,近12个月经营净收益
corp_oper_diff_24m,近24个月经营净收益
taxes_level_cd,纳税等级
corp_curr_fin_asset_bal,当前金融资产余额
corp_curr_fin_asset_bal_diff,金融资产余额变动
total_avg_depst_bal_3m,近3个月平均存款余额
n_ph_num4,融资机构数量
n_ph_amt4,融资余额
n_ph_amt2,融资金额
unpayoff_mg_ratio,未结清比例
rep_overdue_cnt_3m,近3个月还款逾期次数
rep_overdue_cnt_24m,近24个月还款逾期次数
corp_curr_lab_amt,当前逾期金额
flag_8,本金/利息逾期标识
creditamt,授信额度
amtused,已用额度
n_u0343_hit,规则U0343命中情况
n_ph_amt1_hit,规则PH_AMT1命中情况
n_ph_amt2_hit,规则PH_AMT2命中情况
tj_result,统计算法结果
rep_crdt_card_limit,信用卡额度
rep_crdt_card_avg_limit_6m,近6个月平均信用卡额度
rep_crdt_card_used_limit,信用卡已用额度
reserve_8,重要股东风险
down30,下调30%标识
industry_cd_desc,行业代码描述
branchname,分行名称
